customer_id,multiple_lines_Yes
5575-GNVDE,False
3668-QPYBK,False
9237-HQITU,False
9305-CDSKC,True
1452-KIOVK,True
7892-POOKP,True
6388-TABGU,False
9763-GRSKD,False
7469-LKBCI,False
8091-TTVAX,True
0280-XJGEX,True
5129-JLPIS,False
3655-SNQYZ,True
8191-XWSZG,False
9959-WOFKT,True
4190-MFLUW,False
4183-MYFRB,False
1680-VDCWW,False
1066-JKSGK,False
3638-WEABW,True
6322-HRPFA,False
6865-JZNKO,False
6467-CHFZW,True
5248-YGIJN,True
8773-HHUOZ,False
3841-NFECX,True
4929-XIHVW,False
6827-IEAUQ,False
7310-EGVHZ,False
3413-BMNZE,False
6234-RAAPL,True
6047-YHPVI,False
6572-ADKRS,False
5380-WJKOV,True
8168-UQWWF,True
8865-TNMNX,False
9489-DEDVP,True
9867-JCZSP,False
4671-VJLCL,True
4080-IIARD,True
3714-NTNFO,True
5948-UJZLF,False
7760-OYPDY,False
7639-LIAYI,True
2954-PIBKO,True
8012-SOUDQ,True
9420-LOJKX,False
6575-SUVOI,True
7495-OOKFY,True
4667-QONEA,False
1658-BYGOY,True
8769-KKTPH,True
5067-XJQFU,True
3957-SQXML,True
5954-BDFSG,True
0434-CSFON,True
1215-FIGMP,True
0557-ASKVU,False
5698-BQJOH,True
5122-CYFXA,False
8627-ZYGSZ,True
3410-YOQBQ,False
3170-NMYVV,False
7410-OIEDU,False
2273-QCKXA,False
0731-EBJQB,False
1891-QRQSA,True
8028-PNXHQ,True
5630-AHZIL,False
2673-CXQEU,True
6416-JNVRK,False
5590-ZSKRV,False
0191-ZHSKZ,False
3887-PBQAO,True
5919-TMRGD,False
9191-MYQKX,False
9919-YLNNG,False
0318-ZOPWS,False
4445-ZJNMU,True
4808-YNLEU,False
1862-QRWPE,False
2796-NNUFI,False
4767-HZZHQ,False
2424-WVHPL,False
7233-PAHHL,True
6067-NGCEU,True
9848-JQJTX,True
8637-XJIVR,True
9803-FTJCG,True
0278-YXOOG,False
3212-KXOCR,False
4598-XLKNJ,False
6380-ARCEH,False
3679-XASPY,False
7123-WQUHX,True
3192-NQECA,True
6728-DKUCO,True
8597-CWYHH,True
2848-YXSMW,False
0486-HECZI,True
4549-ZDQYY,False
5712-AHQNN,False
4846-WHAFZ,True
3071-VBYPO,False
5299-RULOA,True
8402-OOOHJ,False
9445-ZUEQE,True
1091-SOZGA,True
